grouping,group_name,hemi,ROI,idx
1,cortex,L,amygdalopiriform_cx,1
1,cortex,L,auditory_primary_cx,2
1,cortex,L,cingulate_cx_1,3
1,cortex,L,cingulate_cx_2,4
1,cortex,L,d_agran_insular_cx,5
1,cortex,L,d_auditory_secondary_cx,6
1,cortex,L,dorsolat_orbital_cx,7
1,cortex,L,dysgran_insular_cx,8
1,cortex,L,entorhinal_cx,9
1,cortex,L,frontal_association_cx,10
1,cortex,L,frontal_cx_3,11
1,cortex,L,granular_insular_cx,12
1,cortex,L,insular_cx,13
1,cortex,L,lat_entorhinal_cx,14
1,cortex,L,motor_cx_1,15
1,cortex,L,motor_cx_2,16
1,cortex,L,p_agran_insular_cx,17
1,cortex,L,par_association_cx_lat,18
1,cortex,L,par_association_cx_med,19
1,cortex,L,parietal_cx_post_dorsal,20
1,cortex,L,parietal_cx_post_rostral,21
1,cortex,L,perirhinal_cx_35,22
1,cortex,L,perirhinal_cx_36,23
1,cortex,L,piriform_cx,24
1,cortex,L,postrhinal_cx,25
1,cortex,L,prefrontal_cx,26
1,cortex,L,retrosplenial_dysgran_cx,27
1,cortex,L,retrosplenial_granular_b_cx,28
1,cortex,L,retrosplenial_granular_c_cx,29
1,cortex,L,sensory_bf_cx,30
1,cortex,L,sensory_cx,31
1,cortex,L,sensory_dysgran_cx,32
1,cortex,L,sensory_dysgran_oral_cx,33
1,cortex,L,sensory_fl_cx,34
1,cortex,L,sensory_hl_cx,35
1,cortex,L,sensory_j_cx,36
1,cortex,L,sensory_secondary_cx,37
1,cortex,L,sensory_sh_cx,38
1,cortex,L,sensory_tr_cx,39
1,cortex,L,sensory_ul_cx,40
1,cortex,L,temporal_association_cx,41
1,cortex,L,v_agran_insular_cx,42
1,cortex,L,v_auditory_secondary_cx,43
1,cortex,L,visual_binocular_cx,44
1,cortex,L,visual_cx,45
1,cortex,L,visual_monocular_cx,46
1,cortex,L,visual_secondary_lat_cx,47
1,cortex,L,visual_secondary_medlat_cx,48
1,cortex,L,visual_secondary_medmed_cx,49
2,basal ganglia,L,globus_pallidus,99
2,basal ganglia,L,sn,100
2,basal ganglia,L,striatum,101
3,subcortex,L,basal_forebrain,105
3,subcortex,L,bnst,106
3,subcortex,L,hypothalamus,107
3,subcortex,L,periventricular_gray,108
3,subcortex,L,pineal,109
3,subcortex,L,septum,110
3,subcortex,L,thalamus,111
4,cerebellum,L,cerebellum_gran,119
4,cerebellum,L,cerebellum_mol,120
5,brainstem,L,brain_stem,123
5,brainstem,L,colliculus_sup_deeper,124
5,brainstem,L,colliculus_sup_superficial,125
5,brainstem,L,entopeduncular_nucleus,126
5,brainstem,L,interpeduncular_nucleus,127
5,brainstem,L,pag,128
5,brainstem,L,pretectum,129
6,olfactory bulb,L,olfactory_bulb,137
6,olfactory bulb,L,olfactory_bulb_access_glom,138
6,olfactory bulb,L,olfactory_bulb_glom,139
7,hippocampus,L,dorsal_hipp,143
7,hippocampus,L,fasciola_cinereum,144
7,hippocampus,L,parasubiculum,145
7,hippocampus,L,presubiculum,146
7,hippocampus,L,ventral_hipp,147
1,cortex,R,amygdalopiriform_cx,50
1,cortex,R,auditory_primary_cx,51
1,cortex,R,cingulate_cx_1,52
1,cortex,R,cingulate_cx_2,53
1,cortex,R,d_agran_insular_cx,54
1,cortex,R,d_auditory_secondary_cx,55
1,cortex,R,dorsolat_orbital_cx,56
1,cortex,R,dysgran_insular_cx,57
1,cortex,R,entorhinal_cx,58
1,cortex,R,frontal_association_cx,59
1,cortex,R,frontal_cx_3,60
1,cortex,R,granular_insular_cx,61
1,cortex,R,insular_cx,62
1,cortex,R,lat_entorhinal_cx,63
1,cortex,R,motor_cx_1,64
1,cortex,R,motor_cx_2,65
1,cortex,R,p_agran_insular_cx,66
1,cortex,R,par_association_cx_lat,67
1,cortex,R,par_association_cx_med,68
1,cortex,R,parietal_cx_post_dorsal,69
1,cortex,R,parietal_cx_post_rostral,70
1,cortex,R,perirhinal_cx_35,71
1,cortex,R,perirhinal_cx_36,72
1,cortex,R,piriform_cx,73
1,cortex,R,postrhinal_cx,74
1,cortex,R,prefrontal_cx,75
1,cortex,R,retrosplenial_dysgran_cx,76
1,cortex,R,retrosplenial_granular_b_cx,77
1,cortex,R,retrosplenial_granular_c_cx,78
1,cortex,R,sensory_bf_cx,79
1,cortex,R,sensory_cx,80
1,cortex,R,sensory_dysgran_cx,81
1,cortex,R,sensory_dysgran_oral_cx,82
1,cortex,R,sensory_fl_cx,83
1,cortex,R,sensory_hl_cx,84
1,cortex,R,sensory_j_cx,85
1,cortex,R,sensory_secondary_cx,86
1,cortex,R,sensory_sh_cx,87
1,cortex,R,sensory_tr_cx,88
1,cortex,R,sensory_ul_cx,89
1,cortex,R,temporal_association_cx,90
1,cortex,R,v_agran_insular_cx,91
1,cortex,R,v_auditory_secondary_cx,92
1,cortex,R,visual_binocular_cx,93
1,cortex,R,visual_cx,94
1,cortex,R,visual_monocular_cx,95
1,cortex,R,visual_secondary_lat_cx,96
1,cortex,R,visual_secondary_medlat_cx,97
1,cortex,R,visual_secondary_medmed_cx,98
2,basal ganglia,R,globus_pallidus,102
2,basal ganglia,R,sn,103
2,basal ganglia,R,striatum,104
3,subcortex,R,basal_forebrain,112
3,subcortex,R,bnst,113
3,subcortex,R,hypothalamus,114
3,subcortex,R,periventricular_gray,115
3,subcortex,R,pineal,116
3,subcortex,R,septum,117
3,subcortex,R,thalamus,118
4,cerebellum,R,cerebellum_gran,121
4,cerebellum,R,cerebellum_mol,122
5,brainstem,R,brain_stem,130
5,brainstem,R,colliculus_sup_deeper,131
5,brainstem,R,colliculus_sup_superficial,132
5,brainstem,R,entopeduncular_nucleus,133
5,brainstem,R,interpeduncular_nucleus,134
5,brainstem,R,pag,135
5,brainstem,R,pretectum,136
6,olfactory bulb,R,olfactory_bulb,140
6,olfactory bulb,R,olfactory_bulb_access_glom,141
6,olfactory bulb,R,olfactory_bulb_glom,142
7,hippocampus,R,dorsal_hipp,148
7,hippocampus,R,fasciola_cinereum,149
7,hippocampus,R,parasubiculum,150
7,hippocampus,R,presubiculum,151
7,hippocampus,R,ventral_hipp,152
